Date;Time(UTC);Type ;Type;Parameters;model;S/N;Comments;Operator;miscellaneous
06.04.2022;10:54:00;Installation;buoy;N/A;CB-450;0438-21H19-001;Deploy wavebuoy;Damien Bouffard;Wavebuoy.jpg
06.04.2022;14:00:00;Installation;Wave sensor;Waves;SVS-603;wave01055;Start Measurement;S�bastien Lavanchy;Calibration_certificate_SN603HR0154_202102.pdf
